TestFile: ../../data/de_genes.txt 
BackgroundFile: ../../data/bg_genes.txt 
Geneset: h.all.v7.0.symbols.gmt.txt SaveFile: gsea_results.txt
	test_inset	test_notinset	background_inset	background_notinset	oddsratio	pvalue	bonferroni-adjusted	testgenes_in_set
HALLMARK_PANCREAS_BETA_CELLS 	0	59	36	23954	0.0	1.0	1	
HALLMARK_TGF_BETA_SIGNALING 	3	56	51	23939	25.146008403361346	0.00031827389969912525	0.01591369498495626	ID2,ID3,ID1
HALLMARK_IL2_STAT5_SIGNALING 	1	58	184	23806	2.230697151424288	0.3662952853310947	1	SLC2A3
HALLMARK_BILE_ACID_METABOLISM 	2	57	103	23887	8.137284959972748	0.027489427594858572	1	TTR,APOA1
HALLMARK_MITOTIC_SPINDLE 	1	58	197	23793	2.082356030106774	0.38636840920665827	1	FGD6
HALLMARK_KRAS_SIGNALING_DN 	1	58	163	23827	2.5203088639729216	0.33249784730084475	1	ACTC1
HALLMARK_ESTROGEN_RESPONSE_LATE 	5	54	187	23803	11.785997227173699	0.00010865958944517394	0.005432979472258697	MDK,ADD3,ID2,KRT19,CKB
HALLMARK_ADIPOGENESIS 	1	58	195	23795	2.103890362511052	0.38332142989388807	1	APLP2
HALLMARK_P53_PATHWAY 	0	59	196	23794	0.0	1.0	1	
HALLMARK_HEME_METABOLISM 	1	58	185	23805	2.218546132339236	0.36786202092586423	1	MYL4
HALLMARK_NOTCH_SIGNALING 	0	59	32	23958	0.0	1.0	1	
HALLMARK_MTORC1_SIGNALING 	2	57	198	23792	4.216197058302321	0.08655190233775754	1	ADD3,SLC2A3
HALLMARK_INTERFERON_GAMMA_RESPONSE 	0	59	175	23815	0.0	1.0	1	
HALLMARK_TNFA_SIGNALING_VIA_NFKB 	2	57	188	23802	4.442329227323628	0.0792949494016007	1	SLC2A3,ID2
HALLMARK_PEROXISOME 	1	58	102	23888	4.037863421230561	0.22395255810393339	1	TTR
HALLMARK_INTERFERON_ALPHA_RESPONSE 	0	59	88	23902	0.0	1.0	1	
HALLMARK_MYOGENESIS 	8	51	184	23806	20.294970161977833	2.232607670940174e-08	1.116303835470087e-06	TNNT2,IGFBP3,ACTC1,CKB,TPM3,MYL7,MYL4,COL3A1
HALLMARK_FATTY_ACID_METABOLISM 	0	59	150	23840	0.0	1.0	1	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE 	0	59	111	23879	0.0	1.0	1	
HALLMARK_CHOLESTEROL_HOMEOSTASIS 	0	59	73	23917	0.0	1.0	1	
HALLMARK_ALLOGRAFT_REJECTION 	0	59	156	23834	0.0	1.0	1	
HALLMARK_UV_RESPONSE_UP 	1	58	157	23833	2.6172853063913903	0.3225201630881556	1	EPCAM
HALLMARK_ANGIOGENESIS 	1	58	32	23958	12.908405172413794	0.07791071765509007	1	COL3A1
HALLMARK_MYC_TARGETS_V1 	0	59	199	23791	0.0	1.0	1	
HALLMARK_DNA_REPAIR 	0	59	148	23842	0.0	1.0	1	
HALLMARK_KRAS_SIGNALING_UP 	3	56	174	23816	7.332512315270936	0.009422817678815514	0.4711408839407757	IGFBP3,TNNT2,ID2
HALLMARK_HYPOXIA 	3	56	189	23801	6.746315192743764	0.011736550036954604	0.5868275018477302	IGFBP3,GPC3,SLC2A3
HALLMARK_GLYCOLYSIS 	2	57	190	23800	4.395198522622345	0.08073026791137644	1	IGFBP3,GPC3
HALLMARK_SPERMATOGENESIS 	0	59	112	23878	0.0	1.0	1	
HALLMARK_OXIDATIVE_PHOSPHORYLATION 	0	59	198	23792	0.0	1.0	1	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION 	8	51	189	23801	19.75391638136736	2.7269301533351703e-08	1.363465076667585e-06	FN1,ID2,TPM1,VIM,IGFBP3,COL1A2,COL3A1,SERPINE2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY 	1	58	47	23943	8.783198826118856	0.11132151561194992	1	HHEX
HALLMARK_MYC_TARGETS_V2 	0	59	58	23932	0.0	1.0	1	
HALLMARK_E2F_TARGETS 	0	59	200	23790	0.0	1.0	1	
HALLMARK_IL6_JAK_STAT3_SIGNALING 	0	59	71	23919	0.0	1.0	1	
HALLMARK_PROTEIN_SECRETION 	1	58	93	23897	4.4302929180571	0.206533539739984	1	KRT18
HALLMARK_UV_RESPONSE_DN 	4	55	139	23851	12.479267495094833	0.0004232431927012575	0.021162159635062877	COL1A2,ID1,ADD3,COL3A1
HALLMARK_APOPTOSIS 	1	58	153	23837	2.686161821050259	0.315787070614629	1	KRT18
HALLMARK_ANDROGEN_RESPONSE 	2	57	95	23895	8.825484764542937	0.023734934677666287	1	KRT8,KRT19
HALLMARK_COMPLEMENT 	3	56	178	23812	7.16653290529695	0.010010861465784986	0.5005430732892493	GATA3,FN1,APOC1
HALLMARK_APICAL_JUNCTION 	2	57	188	23802	4.442329227323628	0.0792949494016007	1	MDK,ACTC1
HALLMARK_ESTROGEN_RESPONSE_EARLY 	6	53	191	23799	14.10589746122691	8.791360637972354e-06	0.0004395680318986177	ADD3,KRT18,RHOBTB3,KRT8,KRT19,TUBB2B
HALLMARK_PI3K_AKT_MTOR_SIGNALING 	0	59	102	23888	0.0	1.0	1	
HALLMARK_G2M_CHECKPOINT 	0	59	196	23794	0.0	1.0	1	
HALLMARK_APICAL_SURFACE 	1	58	41	23949	10.071068124474348	0.098102480939005	1	GATA3
HALLMARK_XENOBIOTIC_METABOLISM 	1	58	182	23808	2.255399772641152	0.36315035360261105	1	ID2
HALLMARK_WNT_BETA_CATENIN_SIGNALING 	0	59	40	23950	0.0	1.0	1	
HALLMARK_INFLAMMATORY_RESPONSE 	1	58	168	23822	2.4447865353037765	0.34070211967135783	1	GPC3
HALLMARK_COAGULATION 	3	56	120	23870	10.65625	0.003444894815455876	0.1722447407727938	APOA1,FN1,APOC1
HALLMARK_HEDGEHOG_SIGNALING 	0	59	36	23954	0.0	1.0	1	
